command,Vm
0.0137526,-19.3875
0.02328,-19.4688
0.0328073,-19.3
0.0423346,-19.375
0.0518619,-19.55
0.0613892,-19.4125
0.0709165,-19.4187
0.0804439,-19.3687
0.0899712,-19.4
0.0994985,-19.325
0.109026,-19.3062
0.118553,-19.4625
0.12808,-19.6
0.137608,-19.4937
0.147135,-19.2812
0.156662,-19.4187
0.16619,-19.2687
0.175717,-19.3312
0.185244,-19.5375
0.194772,-19.2938
0.204299,-19.4062
0.213826,-19.3188
0.223353,-19.35
0.232881,-19.3625
0.242408,-19.2687
0.251935,-19.2687
0.261463,-19.3438
0.27099,-19.2
0.280517,-19.1625
0.290044,-19.2437
0.299572,-19.3375
0.309099,-19.1562
0.318626,-19.2125
0.328153,-19.1062
0.337681,-19.1437
0.347208,-19.25
0.356735,-19.2375
0.366262,-19.1062
0.37579,-19.0625
0.385317,-19.225
0.394844,-18.9688
0.404371,-19.1
0.413899,-18.9813
0.423426,-18.9937
0.432953,-19.0625
0.44248,-19.0875
0.452007,-19
0.461535,-18.8812
0.471062,-19.05
0.480589,-18.8812
0.490116,-18.9562
0.499643,-19.0312
0.509171,-18.975
0.518698,-19
0.528225,-18.9312
0.537752,-18.7875
0.547279,-18.925
0.556806,-19
0.566333,-18.9375
0.575861,-18.8937
0.585388,-18.8
0.594915,-18.9562
0.604442,-18.8937
0.613969,-18.9
0.623496,-18.9312
0.633023,-18.8062
0.64255,-18.8687
0.652077,-18.9625
0.661604,-18.8687
0.671131,-18.7937
0.680659,-18.9375
0.690186,-18.7687
0.699713,-18.85
0.70924,-18.8812
0.718767,-18.8
0.728294,-18.9437
0.737821,-18.9562
0.747348,-18.9562
0.756875,-18.85
0.766402,-18.9875
0.775929,-18.9125
0.785456,-19.0812
0.794983,-18.9
0.80451,-18.9688
0.814036,-18.9125
0.823563,-19.0187
0.83309,-18.9
0.842617,-18.875
0.852144,-18.95
0.861671,-18.9312
0.871198,-18.9562
0.880725,-18.9062
0.890251,-18.9625
0.899778,-18.9312
0.909305,-19.05
0.918832,-19.1062
0.928359,-19.1187
0.937886,-19.0875
0.947412,-19.0875
0.956939,-19.0688
0.966466,-19.1875
0.975993,-19.125
0.98552,-19.025
0.995046,-19.1875
1.00457,-19.1812
1.0141,-19.1812
1.02363,-19.0625
1.03315,-19.15
1.04268,-19.1187
1.05221,-19.1375
1.06173,-19.2687
1.07126,-19.2812
1.08079,-19.1313
1.09031,-19.1
1.09984,-19.125
1.10937,-19.25
1.11889,-19.1937
1.12842,-19.0187
1.13795,-19.2375
1.14747,-19.2
1.157,-19.2313
1.16653,-19.2375
1.17605,-19.1812
1.18558,-19.2313
1.19511,-19.3562
1.20463,-19.175
1.21416,-19.1625
1.22368,-19.1625
1.23321,-19.2625
1.24274,-19.025
1.25226,-19.2938
1.26179,-19.1
1.27132,-19.15
1.28084,-19.1625
1.29037,-19.3125
1.2999,-19.2
1.30942,-19.2437
1.31895,-19.1562
1.32847,-19.0125
1.338,-19.2313
1.34753,-19.1875
1.35705,-19.0875
1.36658,-19.2
1.37611,-19.2
1.38563,-19.0625
1.39516,-19.2313
1.40468,-19.0437
1.41421,-19.1437
1.42374,-19.2938
1.43326,-19.2938
1.44279,-19.1937
1.45231,-19.1313
1.46184,-19.3312
1.47137,-19.2625
1.48089,-19.2188
1.49042,-19.1125
1.49995,-19.1937
1.50947,-19.1062
1.519,-19.0875
1.52852,-19.1937
1.53805,-19.1812
1.54757,-19.0812
1.5571,-19.1313
1.56663,-19.2062
1.57615,-19.0187
1.58568,-19.1313
1.5952,-19.0187
1.60473,-19.1313
1.61426,-19.1625
1.62378,-19.1313
1.63331,-19.225
1.64283,-19.3937
1.65236,-19.1
1.66188,-19.2
1.67141,-19.225
1.68094,-19.2
1.69046,-19.3062
1.69999,-19.2
1.70951,-19.1937
1.71904,-19.0125
1.72856,-19.0938
1.73809,-19.2
1.74761,-19.3062
1.75714,-19.2375
1.76667,-19.0063
1.77619,-19.2062
1.78572,-19.0688
1.79524,-19.1687
1.80477,-19.2125
1.81429,-19.2812
1.82382,-19.1
1.83334,-19.2
1.84287,-19.1187
1.85239,-19.2687
1.86192,-19.0688
1.87145,-19.1375
1.88097,-19.2812
1.8905,-19.2437
1.90002,-19.2062
1.90955,-19.1187
1.91907,-19.2562
1.9286,-19.3562
1.93812,-19.1687
1.94765,-19.125
1.95717,-19.0938
1.9667,-19.1937
1.97622,-19.1062
1.98575,-19.2938
1.99527,-19.225
2.0048,-19.15
2.01432,-19.2
2.02385,-19.1562
2.03337,-19.0875
2.0429,-19.175
2.05242,-19.0938
2.06195,-19.1
2.07147,-19.05
2.081,-19.075
2.09052,-19.125
2.10004,-19.1875
2.10957,-19.1187
2.11909,-19.15
2.12862,-19.1687
2.13814,-19.15
2.14767,-19.0312
2.15719,-18.9875
2.16672,-19.2
2.17624,-19.0812
2.18577,-18.9813
2.19529,-19.0125
2.20482,-19.1
2.21434,-19.05
2.22386,-18.9125
2.23339,-19.0125
2.24291,-18.9937
2.25244,-18.9688
2.26196,-18.875
2.27149,-19.0688
2.28101,-19.0437
2.29053,-18.8625
2.30006,-18.9688
2.30958,-18.9188
2.31911,-18.8687
2.32863,-18.9
2.33816,-18.9875
2.34768,-18.8812
2.3572,-18.7563
2.36673,-18.8438
2.37625,-18.7375
2.38578,-18.6625
2.3953,-18.8562
2.40482,-18.6375
2.41435,-18.675
2.42387,-18.8562
2.4334,-18.6562
2.44292,-18.6375
2.45244,-18.7
2.46197,-18.6562
2.47149,-18.7188
2.48101,-18.5437
2.49054,-18.6562
2.50006,-18.7
2.50958,-18.5625
2.51911,-18.6
2.52863,-18.7563
2.53816,-18.5063
2.54768,-18.7312
2.5572,-18.8312
2.56673,-18.575
2.57625,-18.7687
2.58577,-18.7188
2.5953,-18.6875
2.60482,-18.6
2.61434,-18.65
2.62387,-18.7625
2.63339,-18.525
2.64291,-18.5625
2.65244,-18.6688
2.66196,-18.5938
2.67148,-18.6562
2.68101,-18.6312
2.69053,-18.5875
2.70005,-18.5625
2.70957,-18.5375
2.7191,-18.7
2.72862,-18.7
2.73814,-18.5375
2.74767,-18.6375
2.75719,-18.525
2.76671,-18.5875
2.77623,-18.4875
2.78576,-18.6312
2.79528,-18.5812
2.8048,-18.4937
2.81433,-18.3937
2.82385,-18.4812
2.83337,-18.4062
2.84289,-18.4438
2.85242,-18.2
2.86194,-18.3937
2.87146,-18.2312
2.88098,-18.4
2.89051,-18.3937
2.90003,-18.3438
2.90955,-18.4
2.91907,-18.3875
2.9286,-18.325
2.93812,-18.45
2.94764,-18.475
2.95716,-18.5125
2.96668,-18.4625
2.97621,-18.2812
2.98573,-18.2
2.99525,-18.3438
3.00477,-18.2125
3.01429,-18.2125
3.02382,-18.2
3.03334,-18.2687
3.04286,-18.3563
3.05238,-18.2312
3.0619,-18.3625
3.07143,-18.1375
3.08095,-18.2938
3.09047,-18.1375
3.09999,-18.3062
3.10951,-18.375
3.11903,-18.2625
3.12856,-18.3
3.13808,-18.3
3.1476,-18.375
3.15712,-18.4
3.16664,-18.3563
3.17616,-18.3625
3.18568,-18.525
3.19521,-18.2875
3.20473,-18.5375
3.21425,-18.3312
3.22377,-18.4875
3.23329,-18.2625
3.24281,-18.375
3.25233,-18.475
3.26185,-18.375
3.27137,-18.3875
3.2809,-18.3
3.29042,-18.3687
3.29994,-18.2687
3.30946,-18.4062
3.31898,-18.4688
3.3285,-18.4625
3.33802,-18.3
3.34754,-18.3937
3.35706,-18.4812
3.36658,-18.6562
3.3761,-18.5812
3.38562,-18.4062
3.39515,-18.6375
3.40467,-18.65
3.41419,-18.5
3.42371,-18.7125
3.43323,-18.625
3.44275,-18.5687
3.45227,-18.5
3.46179,-18.6
3.47131,-18.5875
3.48083,-18.6
3.49035,-18.5687
3.49987,-18.6187
3.50939,-18.5312
3.51891,-18.7
3.52843,-18.6375
3.53795,-18.7937
3.54747,-18.775
3.55699,-18.8062
3.56651,-18.6688
3.57603,-18.8438
3.58555,-18.7
3.59507,-18.75
3.60459,-18.85
3.61411,-18.7188
3.62363,-18.7125
3.63315,-18.7375
3.64267,-18.6187
3.65219,-18.5938
3.66171,-18.55
3.67122,-18.5625
3.68074,-18.6187
3.69026,-18.5812
3.69978,-18.7625
3.7093,-18.6063
3.71882,-18.6688
3.72834,-18.7812
3.73786,-18.5812
3.74738,-18.6688
3.7569,-18.625
3.76642,-18.6875
3.77594,-18.7812
3.78545,-18.7812
3.79497,-18.7812
3.80449,-18.6
3.81401,-18.6688
3.82353,-18.55
3.83305,-18.7
3.84257,-18.775
3.85209,-18.6
3.8616,-18.5375
3.87112,-18.6812
3.88064,-18.6562
3.89016,-18.6187
3.89968,-18.675
3.9092,-18.625
3.91871,-18.6688
3.92823,-18.7875
3.93775,-18.6938
3.94727,-18.6437
3.95679,-18.7188
3.96631,-18.7
3.97582,-18.8375
3.98534,-18.6562
3.99486,-18.8
4.00438,-18.7437
4.0139,-18.6938
4.02341,-18.7312
4.03293,-18.75
4.04245,-18.7062
4.05197,-18.6688
4.06148,-18.8687
4.071,-18.7563
4.08052,-18.6688
4.09004,-18.775
4.09955,-18.6312
4.10907,-18.7188
4.11859,-18.6187
4.12811,-18.5812
4.13762,-18.725
4.14714,-18.6
4.15666,-18.675
4.16617,-18.7625
4.17569,-18.65
4.18521,-18.8937
4.19473,-18.7563
4.20424,-18.8188
4.21376,-18.8
4.22328,-18.8687
4.23279,-18.8438
4.24231,-18.9375
4.25183,-18.6938
4.26134,-18.7937
4.27086,-18.8
4.28038,-18.8625
4.28989,-18.65
4.29941,-18.7687
4.30893,-18.6938
4.31844,-18.8188
4.32796,-18.7687
4.33747,-18.9125
4.34699,-18.875
4.35651,-18.8
4.36602,-18.9
4.37554,-19.0375
4.38506,-18.8188
4.39457,-18.9625
4.40409,-18.8312
4.4136,-18.9062
4.42312,-18.9937
4.43263,-18.7812
4.44215,-18.8312
4.45167,-18.7563
4.46118,-18.6437
4.4707,-18.7687
4.48021,-18.7188
4.48973,-18.7
4.49924,-18.7062
4.50876,-18.6375
4.51827,-18.7
4.52779,-18.6625
4.53731,-18.575
4.54682,-18.6562
4.55634,-18.7437
4.56585,-18.6625
4.57537,-18.7687
4.58488,-18.6938
4.5944,-18.6812
4.60391,-18.6938
4.61343,-18.825
4.62294,-18.775
4.63245,-18.5562
4.64197,-18.75
4.65148,-18.7188
4.661,-18.5375
4.67051,-18.6
4.68003,-18.575
4.68954,-18.4
4.69906,-18.5938
4.70857,-18.5125
4.71808,-18.4187
4.7276,-18.4375
4.73711,-18.475
4.74663,-18.4125
4.75614,-18.55
4.76566,-18.475
4.77517,-18.475
4.78468,-18.45
